puuid,date,lane,individualPosition,win,match_id,championname
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 22:26:18,BOTTOM,UTILITY,False,EUW1_5547427871,Gragas
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 21:51:16,BOTTOM,UTILITY,True,EUW1_5547440768,Thresh
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 21:12:05,BOTTOM,UTILITY,True,EUW1_5547343423,Pyke
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 20:24:06,TOP,TOP,True,EUW1_5547215281,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 19:45:15,MIDDLE,MIDDLE,True,EUW1_5547078455,Galio
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 19:04:20,BOTTOM,UTILITY,False,EUW1_5547009915,Thresh
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 18:23:05,BOTTOM,BOTTOM,False,EUW1_5546964356,Draven
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 17:22:40,JUNGLE,JUNGLE,False,EUW1_5546882858,Gragas
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 13:11:46,BOTTOM,UTILITY,False,EUW1_5546549563,Lulu
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-09 00:12:37,BOTTOM,UTILITY,False,EUW1_5546159705,Zilean
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-08 23:43:24,NONE,UTILITY,True,EUW1_5546147731,Zilean
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-08 23:08:23,BOTTOM,UTILITY,True,EUW1_5546124490,Lulu
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-08 22:33:30,BOTTOM,UTILITY,True,EUW1_5546057383,Karma
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-08 21:44:38,JUNGLE,JUNGLE,True,EUW1_5545958394,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-08 21:06:29,BOTTOM,UTILITY,True,EUW1_5545932146,Leona
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-08 20:34:58,BOTTOM,UTILITY,True,EUW1_5545825217,Leona
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-08 12:53:20,NONE,UTILITY,True,EUW1_5544703241,Rakan
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-08 12:15:49,BOTTOM,UTILITY,True,EUW1_5544668089,Thresh
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-08 11:47:30,NONE,UTILITY,False,EUW1_5544645842,Leona
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-08 00:35:17,BOTTOM,UTILITY,True,EUW1_5544356968,Gragas
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-07 23:54:41,JUNGLE,JUNGLE,False,EUW1_5544323932,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-07 23:16:38,JUNGLE,JUNGLE,False,EUW1_5544297751,Poppy
sOvO1YikMe6gFQ9Fx3utgFboS3NlfVBPvsN0wbsAIDCIVCnChrWQ0eAHfWHyFOavs2e9mJ05snsn6g,2021-11-07 22:41:38,BOTTOM,UTILITY,True,EUW1_5544283813,Thresh
